"id","fmin4","fmin5","fmin6","fmin7","fmin8","fmin9","fmin10","fmin11","cohort"
1,0.255842406475988,NA,-0.344403239486907,NA,NA,1.45633369840178,NA,-0.344403239486907,1
2,0.255842406475988,NA,NA,0.856088052438883,NA,0.856088052438883,NA,3.25707063629046,1
3,-0.944648885449802,NA,-0.344403239486907,NA,NA,-0.344403239486907,0.255842406475988,NA,1
4,0.255842406475988,NA,NA,-0.344403239486907,NA,1.45633369840178,NA,1.45633369840178,1
5,0.255842406475988,NA,-0.344403239486907,NA,-0.944648885449802,NA,-0.944648885449802,NA,1
6,2.05657934436467,NA,NA,0.255842406475988,NA,-0.944648885449802,NA,NA,1
7,0.255842406475988,NA,NA,3.25707063629046,NA,NA,NA,NA,1
8,-0.944648885449802,NA,NA,-0.944648885449802,NA,0.255842406475988,NA,-0.344403239486907,1
9,-0.944648885449802,NA,NA,4.45756192821625,NA,NA,NA,NA,1
10,0.856088052438883,NA,NA,1.45633369840178,NA,0.856088052438883,0.856088052438883,NA,1
11,-0.344403239486907,NA,NA,-0.344403239486907,NA,-0.344403239486907,NA,-0.944648885449802,1
12,-0.944648885449802,NA,0.856088052438883,NA,NA,0.255842406475988,0.255842406475988,NA,1
13,NA,-0.944648885449802,NA,-0.944648885449802,NA,0.255842406475988,NA,-0.344403239486907,2
14,NA,-0.344403239486907,NA,-0.344403239486907,NA,-0.944648885449802,NA,-0.344403239486907,2
15,NA,-0.944648885449802,NA,-0.944648885449802,NA,0.255842406475988,NA,2.05657934436467,2
16,NA,-0.344403239486907,NA,0.255842406475988,NA,0.255842406475988,NA,1.45633369840178,2
17,NA,0.856088052438883,NA,2.65682499032757,NA,3.25707063629046,NA,4.45756192821625,2
18,NA,-0.344403239486907,NA,NA,NA,NA,NA,NA,2
19,NA,-0.344403239486907,NA,0.856088052438883,NA,0.856088052438883,NA,0.856088052438883,2
20,NA,0.856088052438883,NA,0.255842406475988,NA,NA,NA,2.05657934436467,2
21,NA,0.856088052438883,NA,NA,2.65682499032757,NA,NA,NA,2
22,NA,-0.944648885449802,NA,-0.344403239486907,NA,-0.944648885449802,NA,-0.344403239486907,2
23,NA,-0.944648885449802,NA,-0.344403239486907,NA,NA,NA,NA,2
24,NA,-0.944648885449802,NA,NA,NA,NA,NA,NA,2
25,NA,1.45633369840178,NA,0.856088052438883,NA,1.45633369840178,NA,1.45633369840178,2
26,NA,-0.944648885449802,NA,-0.344403239486907,NA,-0.344403239486907,NA,-0.944648885449802,2
27,NA,0.856088052438883,NA,NA,-0.344403239486907,NA,-0.944648885449802,NA,2
28,NA,0.856088052438883,NA,NA,-0.344403239486907,NA,-0.344403239486907,NA,2
29,NA,0.255842406475988,NA,-0.344403239486907,NA,-0.944648885449802,NA,0.255842406475988,2
30,NA,0.255842406475988,NA,-0.344403239486907,NA,NA,0.255842406475988,-0.944648885449802,2
31,NA,NA,-0.344403239486907,NA,NA,-0.344403239486907,NA,-0.944648885449802,3
32,NA,NA,0.255842406475988,NA,-0.944648885449802,NA,NA,NA,3
33,NA,NA,2.65682499032757,NA,NA,2.65682499032757,NA,NA,3
34,NA,NA,0.255842406475988,NA,0.255842406475988,NA,NA,-0.344403239486907,3
35,NA,NA,0.856088052438883,NA,2.05657934436467,NA,-0.944648885449802,NA,3
36,NA,NA,-0.344403239486907,NA,-0.944648885449802,NA,NA,NA,3
37,NA,NA,2.05657934436467,NA,5.05780757417915,NA,NA,3.85731628225336,3
38,NA,NA,0.255842406475988,NA,0.856088052438883,NA,-0.344403239486907,NA,3
39,NA,NA,-0.344403239486907,NA,0.856088052438883,NA,-0.344403239486907,NA,3
40,NA,NA,0.255842406475988,NA,0.255842406475988,NA,3.25707063629046,NA,3
41,NA,NA,-0.944648885449802,NA,0.255842406475988,NA,0.255842406475988,NA,3
42,NA,NA,2.05657934436467,NA,-0.344403239486907,NA,2.65682499032757,NA,3
43,NA,NA,-0.944648885449802,NA,0.856088052438883,NA,NA,-0.344403239486907,3
44,NA,NA,-0.944648885449802,NA,-0.344403239486907,NA,0.255842406475988,NA,3
45,NA,NA,2.65682499032757,NA,2.65682499032757,NA,0.856088052438883,NA,3
46,NA,NA,2.65682499032757,NA,3.25707063629046,NA,NA,NA,3
47,NA,NA,-0.344403239486907,NA,NA,NA,NA,NA,3
48,NA,NA,-0.944648885449802,NA,NA,1.45633369840178,NA,2.05657934436467,3
49,NA,NA,0.255842406475988,NA,0.255842406475988,NA,-0.344403239486907,NA,3
50,NA,NA,-0.344403239486907,NA,NA,0.255842406475988,NA,NA,3
